"Time","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frames_sent_total_camera","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","people_box_count","people_box_count","people_box_count","people_box_count","people_box_count","people_box_count","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","group3-node2_cpu_0","group3-node1_cpu_0","group3-node2_cpu_1","group3-node1_cpu_1","group3-node2_cpu_2","group3-node1_cpu_2","group3-node2_cpu_3","group3-node1_cpu_3","group3-node2_cpu_4","group3-node1_cpu_4","group3-node2_cpu_5","group3-node1_cpu_5","group3-node2_cpu_6","group3-node1_cpu_6","group3-node2_cpu_7","group3-node1_cpu_7","group3-node2_available_memory","group3-node1_available_memory","group3-node2_free_memory","group3-node1_free_memory"
1758829380000,undefined,undefined,undefined,173.861538998608,undefined,undefined,49127,undefined,undefined,49117,undefined,undefined,undefined,undefined,undefined,8,undefined,undefined,undefined,undefined,undefined,70.01638412475586,undefined,undefined,undefined,undefined,undefined,undefined,47838,undefined,undefined,undefined,undefined,undefined,19.245577001129277,undefined,undefined,undefined,undefined,undefined,173.861538998608,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829410000,undefined,undefined,undefined,74.21920099295676,undefined,undefined,49217,undefined,undefined,49207,undefined,undefined,undefined,undefined,undefined,4,undefined,undefined,undefined,undefined,undefined,81.70104026794434,undefined,undefined,undefined,undefined,undefined,undefined,47928,undefined,undefined,undefined,undefined,undefined,21.20065000053728,undefined,undefined,undefined,undefined,undefined,74.21920099295676,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829440000,undefined,undefined,undefined,150.11210199736524,undefined,undefined,49307,undefined,undefined,49297,undefined,undefined,undefined,undefined,undefined,7,undefined,undefined,undefined,undefined,undefined,64.70847129821777,undefined,undefined,undefined,undefined,undefined,undefined,48018,undefined,undefined,undefined,undefined,undefined,18.373945000348613,undefined,undefined,undefined,undefined,undefined,150.11210199736524,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829470000,undefined,undefined,undefined,81.70421700197039,undefined,undefined,49397,undefined,undefined,49387,undefined,undefined,undefined,undefined,undefined,4,undefined,undefined,undefined,undefined,undefined,85.13641357421875,undefined,undefined,undefined,undefined,undefined,undefined,48108,undefined,undefined,undefined,undefined,undefined,18.813066999427974,undefined,undefined,undefined,undefined,undefined,81.70421700197039,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829500000,undefined,undefined,undefined,143.73097600037,undefined,undefined,49487,undefined,undefined,49477,undefined,undefined,undefined,undefined,undefined,6,undefined,undefined,undefined,undefined,undefined,77.28314399719238,undefined,undefined,undefined,undefined,undefined,undefined,48198,undefined,undefined,undefined,undefined,undefined,18.49253399996087,undefined,undefined,undefined,undefined,undefined,143.73097600037,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829530000,undefined,undefined,undefined,62.25741700473009,undefined,undefined,49577,undefined,undefined,49567,undefined,undefined,undefined,undefined,undefined,4,undefined,undefined,undefined,undefined,undefined,83.68158340454102,undefined,undefined,undefined,undefined,undefined,undefined,48288,undefined,undefined,undefined,undefined,undefined,25.742484998772852,undefined,undefined,undefined,undefined,undefined,62.25741700473009,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829560000,undefined,undefined,undefined,146.06211499631172,undefined,undefined,49667,undefined,undefined,49657,undefined,undefined,undefined,undefined,undefined,7,undefined,undefined,undefined,undefined,undefined,67.35444068908691,undefined,undefined,undefined,undefined,undefined,undefined,48378,undefined,undefined,undefined,undefined,undefined,21.420732002297882,undefined,undefined,undefined,undefined,undefined,146.06211499631172,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829590000,undefined,undefined,undefined,111.04446800163714,undefined,undefined,49757,undefined,undefined,49747,undefined,undefined,undefined,undefined,undefined,5,undefined,undefined,undefined,undefined,undefined,75.29306411743164,undefined,undefined,undefined,undefined,undefined,undefined,48469,undefined,undefined,undefined,undefined,undefined,18.272201996296644,undefined,undefined,undefined,undefined,undefined,111.04446800163714,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829620000,undefined,undefined,undefined,94.08457099925727,undefined,undefined,49847,undefined,undefined,49837,undefined,undefined,undefined,undefined,undefined,3,undefined,undefined,undefined,undefined,undefined,79.04648780822754,undefined,undefined,undefined,undefined,undefined,undefined,48558,undefined,undefined,undefined,undefined,undefined,21.175622998271137,undefined,undefined,undefined,undefined,undefined,94.08457099925727,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829650000,undefined,undefined,undefined,109.27435300254729,undefined,undefined,49937,undefined,undefined,49927,undefined,undefined,undefined,undefined,undefined,6,undefined,undefined,undefined,undefined,undefined,79.27489280700684,undefined,undefined,undefined,undefined,undefined,undefined,48648,undefined,undefined,undefined,undefined,undefined,17.913632000272628,undefined,undefined,undefined,undefined,undefined,109.27435300254729,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
